run_id,checkpoint_evaluations,g_best_cost,g_best_agent,p_best_agent_0,p_best_agent_1,p_best_agent_2,p_best_agent_3,p_best_agent_4,p_best_agent_5,p_best_agent_6,p_best_agent_7,p_best_agent_8,p_best_agent_9
3,20000,126.00,agent_1,141.00,126.00,141.00,141.00,126.00,126.00,141.00,141.00,126.00,141.00
3,40000,126.00,agent_1,141.00,126.00,141.00,141.00,126.00,126.00,141.00,141.00,126.00,141.00
3,60000,126.00,agent_1,126.00,126.00,141.00,141.00,126.00,126.00,141.00,141.00,126.00,141.00
3,80000,120.00,agent_4,126.00,126.00,141.00,141.00,120.00,126.00,141.00,141.00,126.00,141.00
3,100000,120.00,agent_4,126.00,126.00,141.00,141.00,120.00,126.00,141.00,141.00,126.00,120.00
3,120000,118.00,agent_2,126.00,126.00,118.00,141.00,120.00,126.00,141.00,141.00,126.00,120.00
3,140000,118.00,agent_2,126.00,126.00,118.00,120.00,120.00,126.00,141.00,141.00,126.00,120.00
3,160000,118.00,agent_2,126.00,126.00,118.00,120.00,120.00,126.00,141.00,141.00,119.00,120.00
3,180000,118.00,agent_2,126.00,119.00,118.00,120.00,120.00,126.00,141.00,141.00,119.00,120.00
3,200000,118.00,agent_2,126.00,119.00,118.00,120.00,120.00,126.00,141.00,118.00,119.00,120.00
3,220000,118.00,agent_2,126.00,119.00,118.00,120.00,120.00,126.00,119.00,118.00,119.00,120.00
