run_id,checkpoint_evaluations,g_best_cost,g_best_agent,p_best_agent_0,p_best_agent_1,p_best_agent_2,p_best_agent_3,p_best_agent_4,p_best_agent_5,p_best_agent_6,p_best_agent_7,p_best_agent_8,p_best_agent_9
8,20000,124.00,agent_9,141.00,141.00,141.00,141.00,141.00,141.00,141.00,141.00,141.00,124.00
8,40000,124.00,agent_9,141.00,141.00,141.00,141.00,126.00,141.00,141.00,141.00,141.00,124.00
8,60000,122.00,agent_0,122.00,141.00,141.00,141.00,126.00,141.00,141.00,141.00,141.00,124.00
8,80000,122.00,agent_0,122.00,141.00,141.00,141.00,126.00,141.00,141.00,126.00,141.00,124.00
8,100000,122.00,agent_0,122.00,123.00,141.00,141.00,126.00,141.00,141.00,126.00,141.00,124.00
8,120000,122.00,agent_0,122.00,123.00,141.00,141.00,126.00,141.00,126.00,126.00,141.00,124.00
8,140000,122.00,agent_0,122.00,123.00,126.00,141.00,126.00,141.00,126.00,126.00,141.00,124.00
8,160000,122.00,agent_0,122.00,123.00,126.00,141.00,126.00,126.00,126.00,126.00,141.00,124.00
8,180000,121.00,agent_8,122.00,123.00,126.00,121.00,126.00,126.00,126.00,126.00,121.00,124.00
8,200000,121.00,agent_8,122.00,123.00,126.00,121.00,126.00,126.00,126.00,126.00,121.00,124.00
